Player,Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
Jasmine Paolini,2021 Portoroz F,W vsRiske Amritraj,22.1%,22.1%,41.2%,21.3%,21.3%,37.8%,8.7%,12.5%,25.0%,26.3%,26.3%,50.0%,10.0%,22.2%,0.0%,11
Jasmine Paolini,2021 Bol F,W vsRus,15.0%,23.3%,58.7%,21.6%,29.7%,62.1%,33.3%,31.8%,100.0%,5.6%,16.7%,52.9%,50.0%,33.3%,50.0%,-61
Jasmine Paolini,2021 Saint-Malo F,L vsGolubic,13.0%,19.6%,34.2%,21.4%,28.6%,36.4%,30.8%,46.7%,0.0%,0.0%,6.3%,31.3%,37.5%,50.0%,100.0%,-119
Jasmine Paolini,2021 Gippsland Trophy R16,L vsMuchova,25.3%,30.8%,47.7%,22.5%,28.2%,50.9%,14.3%,38.9%,42.9%,41.2%,47.1%,30.0%,0.0%,9.1%,0.0%,77
Jasmine Paolini,2021 Gippsland Trophy R64,W vsMarino,26.0%,28.8%,52.9%,27.8%,31.5%,46.2%,33.3%,30.3%,40.0%,25.0%,25.0%,75.0%,0.0%,66.7%,100.0%,87
Jasmine Paolini,2020 Linz R32,L vsSabalenka,21.3%,28.7%,41.0%,21.2%,28.8%,39.0%,35.7%,45.8%,37.5%,23.1%,30.8%,45.0%,0.0%,73.3%,80.0%,-104
Jasmine Paolini,2020 Roland Garros R128,W vsBolsova,9.4%,17.2%,55.2%,8.7%,17.4%,57.1%,21.1%,59.3%,66.7%,11.1%,16.7%,50.0%,0.0%,75.0%,100.0%,-104
Jasmine Paolini,2020 Rome R32,L vsHalep,7.8%,10.9%,38.5%,11.9%,16.7%,43.2%,19.0%,57.1%,100.0%,0.0%,0.0%,26.7%,0.0%,85.7%,66.7%,-119
Jasmine Paolini,2020 Australian Open R128,L vsBlinkova,17.1%,22.4%,40.3%,17.5%,25.0%,36.4%,20.0%,45.0%,42.9%,17.1%,20.0%,44.8%,13.3%,20.0%,50.0%,-70
Jasmine Paolini,2019 Guangzhou QF,L vsKenin,23.5%,26.5%,37.5%,28.2%,33.3%,46.4%,20.0%,52.6%,25.0%,20.0%,20.0%,25.0%,8.3%,69.2%,83.3%,62
Jasmine Paolini,2019 Palermo QF,L vsBertens,16.7%,21.8%,54.7%,15.0%,21.7%,54.9%,14.3%,65.6%,75.0%,23.5%,23.5%,53.8%,0.0%,33.3%,25.0%,-37
Jasmine Paolini,2016 Valencia $25K SF,W vsBucsa,16.7%,27.1%,49.4%,18.0%,34.4%,56.0%,53.3%,29.0%,16.7%,15.6%,15.6%,37.0%,15.4%,31.6%,0.0%,0
Jasmine Paolini,2016 Hechingen $25K QF,L vsBurger,13.4%,18.3%,44.3%,16.7%,20.4%,48.9%,25.0%,57.7%,33.3%,7.4%,14.8%,36.0%,0.0%,50.0%,66.7%,-61
Madison Keys,2025 Montreal QF,L vsTauson,28.3%,41.3%,48.3%,39.3%,53.6%,52.9%,73.3%,7.7%,0.0%,14.3%,28.6%,41.7%,20.0%,22.2%,0.0%,9
Madison Keys,2025 Roland Garros R16,W vsBaptiste,37.3%,43.3%,52.5%,40.0%,48.9%,59.3%,42.1%,30.8%,100.0%,35.0%,35.0%,38.5%,70.0%,100.0%,100.0%,6
Madison Keys,2025 Charleston R16,L vsKalinskaya,20.3%,37.3%,40.4%,15.0%,30.0%,38.2%,60.0%,50.0%,0.0%,31.6%,52.6%,46.2%,14.3%,25.0%,0.0%,-104
Madison Keys,2025 Miami R32,L vsEala,22.7%,30.3%,27.7%,19.0%,31.0%,32.4%,65.0%,40.9%,50.0%,35.0%,35.0%,15.4%,44.4%,63.6%,75.0%,97
Madison Keys,2025 Indian Wells SF,L vsSabalenka,17.5%,27.5%,29.0%,20.0%,30.0%,25.0%,56.3%,64.3%,100.0%,12.5%,25.0%,42.9%,33.3%,40.0%,50.0%,-4
Madison Keys,2025 Indian Wells QF,W vsBencic,27.1%,45.8%,48.5%,40.0%,60.0%,55.6%,50.0%,57.1%,0.0%,6.3%,25.0%,40.0%,40.0%,54.5%,0.0%,-55
Madison Keys,2025 Indian Wells R64,W vsPotapova,15.9%,40.9%,72.7%,22.7%,54.5%,70.6%,45.5%,54.5%,50.0%,11.1%,33.3%,75.0%,0.0%,25.0%,33.3%,-14
Madison Keys,2025 Australian Open F,W vsSabalenka,31.0%,43.7%,45.0%,36.2%,51.7%,51.4%,44.0%,30.3%,40.0%,20.7%,27.6%,34.8%,37.5%,53.8%,100.0%,-104
Madison Keys,2025 Australian Open SF,W vsSwiatek,24.5%,37.7%,42.1%,28.8%,43.8%,50.0%,43.3%,41.9%,41.7%,17.2%,27.6%,25.0%,20.0%,50.0%,100.0%,42
Madison Keys,2025 Australian Open QF,W vsSvitolina,23.0%,44.8%,60.3%,32.7%,57.7%,65.7%,66.7%,58.1%,0.0%,9.7%,29.0%,53.6%,20.0%,50.0%,-,-20
Madison Keys,2025 Australian Open R16,W vsRybakina,31.5%,39.3%,41.8%,32.3%,41.9%,42.9%,58.1%,35.5%,44.4%,38.1%,42.9%,38.5%,25.0%,61.5%,100.0%,164
Madison Keys,2025 Australian Open R32,W vsCollins,41.5%,58.5%,47.1%,44.2%,65.4%,44.8%,80.8%,23.1%,0.0%,44.4%,44.4%,60.0%,33.3%,50.0%,-,235
Madison Keys,2025 Australian Open R64,W vsRuse,23.5%,35.7%,50.7%,26.5%,42.6%,52.0%,51.5%,40.0%,75.0%,19.2%,23.1%,47.6%,0.0%,89.5%,100.0%,57
Madison Keys,2025 Australian Open R128,W vsLi,41.9%,53.2%,45.7%,50.0%,65.9%,45.5%,52.6%,32.0%,50.0%,23.5%,23.5%,46.2%,25.0%,77.8%,100.0%,-37
Madison Keys,2025 Adelaide F,W vsPegula,41.3%,50.7%,46.3%,54.9%,58.8%,39.1%,38.1%,43.3%,50.0%,14.3%,38.1%,55.6%,8.3%,88.9%,100.0%,25
Madison Keys,2025 Auckland QF,L vsTauson,26.4%,38.5%,43.9%,33.3%,46.7%,47.5%,60.7%,34.4%,33.3%,13.3%,23.3%,38.5%,23.1%,52.9%,50.0%,-65
Madison Keys,2025 Auckland R32,W vsBronzetti,32.0%,46.0%,54.5%,40.0%,57.1%,57.1%,80.0%,60.0%,100.0%,14.3%,21.4%,50.0%,14.3%,71.4%,-,-23
Madison Keys,2024 Beijing R16,L vsSabalenka,23.7%,35.6%,41.0%,25.6%,39.5%,40.6%,72.7%,42.9%,50.0%,30.0%,40.0%,42.9%,50.0%,75.0%,-,97
Madison Keys,2024 Wimbledon R16,L vsPaolini,27.4%,37.6%,34.1%,32.9%,45.1%,32.7%,54.3%,44.7%,25.0%,15.6%,21.9%,37.0%,5.9%,60.0%,100.0%,0
Madison Keys,2024 Wimbledon R32,W vsKostyuk,29.1%,43.6%,57.9%,26.7%,42.2%,60.6%,65.0%,44.0%,0.0%,44.4%,55.6%,40.0%,0.0%,33.3%,-,17
Madison Keys,2024 Strasbourg F,W vsCollins,33.3%,40.0%,48.1%,35.7%,42.9%,50.0%,46.2%,33.3%,0.0%,35.7%,42.9%,44.4%,0.0%,66.7%,100.0%,109
Madison Keys,2024 Strasbourg QF,W vsLinette,17.4%,41.3%,65.8%,18.9%,43.2%,70.0%,50.0%,42.9%,0.0%,11.1%,33.3%,50.0%,0.0%,0.0%,-,-104
Madison Keys,2024 Rome QF,L vsSwiatek,17.1%,24.4%,48.4%,17.4%,30.4%,52.6%,38.5%,40.0%,100.0%,20.0%,20.0%,41.7%,16.7%,100.0%,100.0%,73
Madison Keys,2024 Rome R16,W vsCirstea,33.3%,41.7%,50.0%,31.4%,42.9%,58.3%,53.3%,35.0%,-,38.5%,38.5%,25.0%,20.0%,62.5%,50.0%,-104
Madison Keys,2024 Madrid SF,L vsSwiatek,20.0%,33.3%,34.3%,25.0%,39.3%,38.1%,58.3%,43.8%,66.7%,12.5%,25.0%,28.6%,0.0%,85.7%,100.0%,-33
Madison Keys,2024 Madrid QF,W vsJabeur,25.6%,36.6%,50.0%,28.3%,41.5%,47.4%,41.7%,31.0%,33.3%,23.1%,30.8%,55.0%,33.3%,71.4%,100.0%,21
Madison Keys,2024 Miami R16,L vsRybakina,15.9%,30.2%,49.1%,14.9%,31.9%,55.0%,26.1%,37.5%,50.0%,18.8%,25.0%,30.8%,28.6%,66.7%,50.0%,-104
Madison Keys,2023 US Open SF,L vsSabalenka,23.6%,33.6%,45.7%,26.3%,38.2%,48.2%,55.9%,42.9%,100.0%,19.4%,25.8%,40.0%,50.0%,73.7%,50.0%,3
Madison Keys,2023 US Open QF,W vsVondrousova,26.0%,40.3%,51.9%,31.5%,51.9%,54.1%,23.8%,30.3%,50.0%,15.0%,15.0%,47.1%,58.3%,25.0%,50.0%,31
Madison Keys,2023 US Open R16,W vsPegula,29.5%,38.6%,58.1%,34.4%,40.6%,61.9%,33.3%,70.6%,-,16.7%,33.3%,50.0%,40.0%,71.4%,100.0%,-104
Madison Keys,2023 Wimbledon QF,L vsSabalenka,29.4%,41.2%,32.6%,32.7%,44.9%,36.4%,71.4%,57.1%,50.0%,23.5%,35.3%,23.1%,37.5%,77.8%,50.0%,23
Madison Keys,2023 Wimbledon R32,W vsKostyuk,21.7%,40.0%,57.8%,26.8%,53.7%,73.3%,37.5%,40.0%,37.5%,11.8%,11.8%,26.7%,30.0%,57.1%,50.0%,2
Madison Keys,2023 Eastbourne F,W vsKasatkina,16.9%,32.5%,55.6%,20.0%,38.3%,62.5%,50.0%,55.3%,50.0%,6.3%,12.5%,33.3%,12.5%,75.0%,0.0%,-51
Madison Keys,2023 Roland Garros R64,L vsDay,11.5%,22.9%,36.9%,15.4%,28.8%,34.1%,51.9%,44.0%,66.7%,7.0%,16.3%,40.0%,71.4%,86.4%,100.0%,-76
Madison Keys,2023 Roland Garros R128,W vsKanepi,33.8%,43.2%,51.0%,46.8%,57.4%,56.0%,45.0%,37.0%,0.0%,11.1%,18.5%,45.8%,8.3%,86.7%,100.0%,-104
Madison Keys,2023 Dubai QF,L vsGauff,22.8%,33.3%,46.3%,24.4%,34.1%,48.4%,72.2%,26.1%,100.0%,23.1%,38.5%,40.0%,80.0%,75.0%,100.0%,97
Madison Keys,2023 Australian Open R32,L vsAzarenka,17.8%,28.8%,43.6%,21.3%,31.9%,37.8%,40.0%,36.4%,16.7%,14.3%,28.6%,55.6%,25.0%,30.8%,66.7%,14
Madison Keys,2023 Australian Open R64,W vsWang,33.3%,38.9%,60.0%,33.3%,40.5%,64.3%,40.9%,50.0%,100.0%,36.4%,36.4%,42.9%,50.0%,77.8%,100.0%,-3
Madison Keys,2022 US Open R32,L vsGauff,15.3%,20.3%,38.8%,14.3%,20.0%,40.0%,68.8%,42.1%,20.0%,17.4%,21.7%,36.8%,83.3%,72.7%,100.0%,-54
Madison Keys,2022 Cincinnati R16,W vsSwiatek,23.2%,37.5%,52.4%,19.4%,33.3%,55.2%,60.0%,38.1%,50.0%,31.6%,47.4%,46.2%,80.0%,88.9%,100.0%,-43
Madison Keys,2022 Indian Wells QF,L vsSwiatek,11.1%,13.9%,25.0%,9.1%,13.6%,35.0%,41.7%,50.0%,100.0%,14.3%,14.3%,8.3%,42.9%,71.4%,-,-104
Madison Keys,2022 Australian Open SF,L vsBarty,19.0%,29.3%,39.1%,22.0%,31.7%,34.4%,64.7%,45.8%,66.7%,12.5%,25.0%,50.0%,45.5%,80.0%,100.0%,-33
Madison Keys,2022 Australian Open QF,W vsKrejcikova,43.1%,50.8%,38.9%,57.4%,61.7%,45.0%,40.9%,48.0%,50.0%,5.9%,23.5%,31.3%,22.2%,100.0%,100.0%,-55
Madison Keys,2022 Australian Open R128,W vsKenin,50.0%,56.8%,47.2%,64.0%,70.0%,55.6%,52.4%,34.5%,0.0%,21.7%,30.4%,38.9%,33.3%,42.9%,50.0%,-54
Madison Keys,2022 Adelaide 2 F,W vsRiske Amritraj,22.9%,39.6%,62.2%,24.1%,41.4%,59.1%,54.5%,44.4%,-,21.1%,36.8%,66.7%,75.0%,100.0%,-,-104
Madison Keys,2022 Adelaide 2 R32,W vsSvitolina,47.8%,54.3%,60.9%,60.6%,69.7%,61.5%,57.1%,42.1%,-,16.7%,16.7%,60.0%,0.0%,42.9%,-,-11
Madison Keys,2021 Cincinnati R64,L vsKvitova,43.1%,53.4%,41.9%,60.5%,68.4%,33.3%,46.7%,65.2%,66.7%,11.1%,27.8%,50.0%,10.0%,12.5%,-,-4
Madison Keys,2021 Wimbledon R16,L vsGolubic,25.3%,36.1%,41.4%,25.5%,43.1%,47.4%,53.8%,52.0%,40.0%,28.6%,28.6%,30.0%,50.0%,61.1%,0.0%,47
Madison Keys,2021 Berlin R16,W vsSabalenka,38.5%,46.2%,41.3%,46.3%,55.6%,48.3%,75.0%,56.7%,50.0%,22.7%,27.3%,29.4%,54.5%,72.7%,100.0%,-3
Madison Keys,2021 Rome R32,L vsSwiatek,26.5%,35.3%,32.7%,35.7%,47.6%,33.3%,53.3%,44.4%,0.0%,12.0%,16.0%,31.8%,11.8%,50.0%,40.0%,-57
Madison Keys,2020 Australian Open R32,L vsSakkari,33.3%,41.3%,36.6%,51.2%,61.0%,40.0%,61.1%,47.8%,66.7%,0.0%,4.8%,33.3%,46.2%,37.5%,-,-119
Madison Keys,2020 Australian Open R64,W vsRus,28.6%,38.1%,62.2%,36.4%,45.5%,71.4%,71.4%,26.1%,33.3%,10.5%,21.1%,47.1%,100.0%,91.7%,-,-104
Madison Keys,2020 Brisbane F,L vsPliskova,29.0%,39.3%,44.6%,29.7%,43.2%,48.1%,61.8%,40.0%,100.0%,29.0%,32.3%,36.4%,73.3%,50.0%,50.0%,-31
Madison Keys,2019 US Open R16,L vsSvitolina,24.6%,42.0%,54.9%,34.0%,53.2%,61.3%,61.1%,34.5%,33.3%,4.8%,19.0%,45.0%,58.3%,66.7%,100.0%,-66
Madison Keys,2019 US Open R32,W vsKenin,40.8%,50.7%,61.1%,46.9%,59.2%,69.2%,52.6%,16.7%,16.7%,37.5%,43.8%,40.0%,100.0%,100.0%,100.0%,183
Madison Keys,2019 Cincinnati F,W vsKuznetsova,38.6%,51.8%,45.8%,51.9%,63.0%,50.0%,68.2%,56.3%,66.7%,15.4%,34.6%,40.9%,76.9%,84.6%,100.0%,21
Madison Keys,2019 Cincinnati SF,W vsKenin,39.7%,47.1%,43.2%,57.5%,62.5%,52.9%,50.0%,54.5%,33.3%,16.7%,29.2%,35.0%,66.7%,83.3%,100.0%,46
Madison Keys,2019 Cincinnati QF,W vsWilliams,29.2%,41.5%,56.8%,39.0%,48.8%,64.0%,60.0%,42.3%,50.0%,13.6%,31.8%,47.4%,61.5%,44.4%,-,-3
Madison Keys,2019 Cincinnati R16,W vsHalep,24.3%,30.6%,44.4%,29.7%,33.8%,48.1%,63.2%,44.4%,66.7%,14.7%,26.5%,37.9%,71.4%,80.0%,100.0%,-6
Madison Keys,2019 Cincinnati R64,W vsMuguruza,35.7%,52.0%,54.2%,48.3%,63.8%,56.7%,31.8%,58.3%,100.0%,19.4%,38.9%,51.7%,46.7%,52.4%,0.0%,17
Madison Keys,2019 Washington R32,L vsBaptiste,24.4%,41.5%,45.0%,29.4%,45.1%,41.7%,78.3%,46.4%,42.9%,17.2%,37.9%,50.0%,41.7%,82.4%,100.0%,-26
Madison Keys,2019 Wimbledon R128,W vsKumkhum,35.2%,44.4%,53.1%,61.3%,67.7%,58.3%,61.5%,61.1%,50.0%,0.0%,15.0%,50.0%,40.0%,90.0%,-,-119
Madison Keys,2019 Roland Garros QF,L vsBarty,35.0%,48.3%,39.5%,40.0%,57.1%,38.1%,50.0%,31.6%,50.0%,29.2%,37.5%,41.2%,30.8%,81.8%,100.0%,-56
Madison Keys,2019 Charleston F,W vsWozniacki,24.7%,34.2%,56.4%,33.3%,43.1%,64.7%,43.5%,67.9%,0.0%,4.5%,13.6%,42.9%,22.2%,92.3%,-,-104
Madison Keys,2019 Charleston QF,W vsStephens,27.7%,35.1%,39.1%,37.9%,48.3%,47.2%,42.3%,31.3%,66.7%,12.5%,15.6%,28.6%,0.0%,89.5%,100.0%,9
Madison Keys,2019 Australian Open R16,L vsSvitolina,20.3%,40.6%,48.0%,22.7%,47.7%,47.1%,57.9%,44.0%,75.0%,15.8%,26.3%,50.0%,50.0%,88.9%,-,-43
Madison Keys,2019 Australian Open R64,W vsPotapova,36.6%,47.9%,37.8%,47.8%,65.2%,58.3%,63.6%,50.0%,75.0%,16.0%,16.0%,14.3%,58.3%,92.3%,100.0%,-104
Madison Keys,2018 Zhuhai R16,L vsWang,17.8%,30.1%,40.0%,19.1%,34.0%,39.5%,56.5%,45.8%,60.0%,15.4%,23.1%,40.9%,16.7%,21.4%,0.0%,-104
Madison Keys,2018 Zhuhai R16,W vsKasatkina,36.4%,38.2%,34.3%,34.1%,36.6%,44.4%,42.1%,40.9%,40.0%,42.9%,42.9%,0.0%,71.4%,100.0%,-,-104
Madison Keys,2018 US Open SF,L vsOsaka,27.7%,44.7%,42.4%,35.3%,50.0%,50.0%,76.5%,23.5%,50.0%,8.3%,33.3%,27.3%,100.0%,85.7%,0.0%,-104
Madison Keys,2018 US Open QF,W vsSuarez Navarro,38.6%,44.3%,47.5%,50.0%,58.7%,56.5%,63.6%,41.7%,50.0%,19.0%,19.0%,35.3%,70.0%,63.6%,-,47
Madison Keys,2018 US Open R16,W vsCibulkova,37.5%,62.5%,60.0%,45.8%,70.8%,69.2%,33.3%,25.0%,-,25.0%,50.0%,50.0%,33.3%,10.0%,0.0%,-104
Madison Keys,2018 US Open R64,W vsPera,46.0%,52.0%,60.0%,64.3%,71.4%,70.0%,41.7%,43.8%,0.0%,25.0%,30.0%,53.3%,100.0%,80.0%,-,6
Madison Keys,2018 Cincinnati QF,L vsSabalenka,32.7%,47.3%,37.9%,53.1%,75.0%,53.3%,61.5%,57.9%,-,6.7%,13.3%,21.4%,77.8%,66.7%,100.0%,-104
Madison Keys,2018 Wimbledon R32,L vsRodina,30.6%,43.2%,36.0%,43.2%,56.8%,40.5%,58.3%,50.0%,62.5%,5.7%,17.1%,30.3%,62.5%,84.2%,75.0%,-56
Madison Keys,2018 Roland Garros SF,L vsStephens,19.1%,26.5%,50.9%,27.1%,33.3%,51.4%,59.1%,50.0%,80.0%,0.0%,11.1%,50.0%,12.5%,80.0%,100.0%,-119
Madison Keys,2018 Charleston SF,L vsBertens,11.5%,23.0%,46.7%,13.2%,25.3%,45.6%,57.5%,49.0%,55.6%,7.1%,17.9%,50.0%,28.6%,64.3%,-,-42
Madison Keys,2018 Brisbane R32,L vsKonta,30.8%,46.2%,47.4%,50.0%,64.0%,52.0%,66.7%,42.3%,50.0%,8.6%,28.6%,43.8%,66.7%,80.0%,100.0%,-34
Madison Keys,2017 US Open F,L vsStephens,16.4%,18.2%,37.8%,19.5%,22.0%,39.4%,47.6%,50.0%,80.0%,7.7%,7.7%,33.3%,33.3%,57.1%,66.7%,-36
Madison Keys,2017 US Open SF,W vsVandeweghe,34.0%,53.2%,63.3%,29.0%,54.8%,63.6%,66.7%,31.6%,-,46.7%,53.3%,62.5%,44.4%,50.0%,-,-28
Madison Keys,2017 US Open QF,W vsKanepi,47.2%,52.8%,50.0%,56.4%,61.5%,52.9%,52.9%,31.8%,50.0%,21.4%,28.6%,45.5%,0.0%,75.0%,-,-104
Madison Keys,2017 US Open R16,W vsSvitolina,22.7%,34.0%,44.6%,29.8%,43.9%,50.0%,60.9%,50.0%,57.1%,12.8%,20.5%,38.2%,20.0%,63.2%,100.0%,-74
Madison Keys,2017 Stanford F,W vsVandeweghe,29.7%,47.3%,61.2%,42.2%,53.3%,57.7%,55.6%,25.9%,100.0%,11.5%,42.3%,65.2%,30.8%,92.3%,100.0%,0
Madison Keys,2017 Miami R32,L vsArruabarrena,26.8%,36.6%,43.8%,43.9%,53.7%,47.8%,55.6%,47.8%,50.0%,3.8%,15.4%,40.0%,33.3%,72.7%,-,-80
Madison Keys,2017 Miami R64,W vsGolubic,19.6%,41.2%,60.0%,22.6%,45.2%,66.7%,66.7%,50.0%,100.0%,15.8%,36.8%,50.0%,50.0%,54.5%,100.0%,-43
Madison Keys,2016 Singapore RR,L vsHalep,12.5%,23.2%,45.7%,15.2%,27.3%,50.0%,58.8%,56.3%,60.0%,10.0%,20.0%,38.9%,14.3%,76.9%,100.0%,-19
Madison Keys,2016 Linz QF,W vsDodin,33.9%,48.2%,58.3%,38.9%,52.8%,54.5%,38.5%,43.5%,100.0%,26.3%,42.1%,64.3%,0.0%,83.3%,-,-43
Madison Keys,2016 Wuhan QF,L vsHalep,15.1%,20.8%,43.9%,20.7%,24.1%,43.5%,66.7%,21.4%,0.0%,10.0%,20.0%,44.4%,30.0%,90.0%,100.0%,-23
Madison Keys,2016 US Open R16,L vsWozniacki,18.1%,27.8%,47.4%,23.3%,37.2%,57.6%,56.0%,66.7%,100.0%,11.1%,14.8%,33.3%,71.4%,70.0%,33.3%,-21
Madison Keys,2016 Olympics BR,L vsKvitova,30.0%,43.0%,46.3%,35.0%,51.7%,48.7%,53.6%,68.8%,100.0%,24.3%,32.4%,42.9%,58.8%,85.0%,100.0%,-13
Madison Keys,2016 Olympics SF,L vsKerber,9.1%,21.2%,57.4%,12.2%,31.7%,61.1%,72.7%,57.9%,100.0%,8.3%,8.3%,45.5%,100.0%,55.6%,-,-30
Madison Keys,2016 Montreal F,L vsHalep,19.4%,28.4%,39.2%,26.3%,34.2%,32.1%,60.0%,47.8%,80.0%,11.5%,23.1%,47.8%,14.3%,75.0%,100.0%,0
Madison Keys,2016 Wimbledon R16,L vsHalep,27.4%,32.6%,49.2%,34.5%,41.8%,52.8%,56.0%,46.7%,42.9%,19.4%,22.2%,44.8%,53.3%,90.5%,100.0%,17
Madison Keys,2016 Roland Garros R16,L vsBertens,21.6%,29.7%,49.1%,28.6%,38.8%,48.6%,47.8%,69.2%,100.0%,8.3%,12.5%,50.0%,40.0%,85.7%,100.0%,-56
Madison Keys,2016 Roland Garros R32,W vsPuig,27.4%,34.2%,45.1%,28.8%,34.6%,51.4%,72.0%,37.0%,25.0%,26.3%,36.8%,28.6%,14.3%,75.0%,100.0%,11
Madison Keys,2016 Rome F,L vsWilliams,22.2%,25.0%,39.6%,31.1%,35.6%,35.5%,42.1%,42.3%,100.0%,8.3%,8.3%,45.5%,9.1%,100.0%,100.0%,-33
Madison Keys,2016 Madrid R16,L vsTig,10.7%,17.9%,33.3%,11.4%,22.9%,29.0%,78.9%,68.8%,80.0%,10.5%,10.5%,41.2%,0.0%,90.0%,100.0%,-9
Madison Keys,2015 Beijing R32,W vsBondarenko,42.3%,50.0%,34.9%,54.5%,68.2%,55.0%,50.0%,68.2%,80.0%,28.1%,28.1%,17.4%,14.3%,27.8%,100.0%,-33
Madison Keys,2015 US Open R16,L vsWilliams,31.7%,44.4%,44.4%,41.7%,58.3%,57.1%,58.8%,36.8%,0.0%,25.0%,35.0%,26.7%,22.2%,18.2%,0.0%,103
Madison Keys,2015 New Haven R16,L vsKvitova,31.1%,36.5%,42.0%,32.4%,37.8%,36.0%,33.3%,45.5%,100.0%,30.6%,36.1%,48.0%,40.0%,31.3%,0.0%,-71
Madison Keys,2015 Stanford R32,W vsKrunic,45.8%,54.2%,60.9%,53.8%,69.2%,83.3%,76.9%,61.5%,100.0%,42.1%,42.1%,36.4%,50.0%,63.6%,-,61
Madison Keys,2015 Wimbledon QF,L vsRadwanska,26.0%,41.7%,58.0%,31.0%,55.2%,60.0%,52.0%,27.3%,0.0%,19.4%,22.2%,55.2%,17.6%,21.1%,33.3%,-40
Madison Keys,2015 Eastbourne R32,L vsBencic,31.4%,45.1%,32.4%,46.4%,64.3%,40.0%,64.3%,28.6%,50.0%,13.6%,22.7%,26.3%,0.0%,30.8%,0.0%,-51
Madison Keys,2015 Roland Garros R32,L vsBacsinszky,32.0%,42.0%,32.4%,33.3%,46.7%,35.0%,42.9%,25.0%,0.0%,30.0%,35.0%,28.6%,20.0%,30.0%,50.0%,-104
Madison Keys,2015 Roland Garros R128,W vsLepchenko,31.9%,39.1%,45.7%,40.9%,50.0%,46.2%,21.4%,30.0%,0.0%,16.7%,20.8%,45.0%,66.7%,8.3%,50.0%,-56
Madison Keys,2015 Charleston F,L vsKerber,16.5%,32.2%,47.4%,21.1%,42.1%,48.3%,57.5%,33.3%,50.0%,7.9%,13.2%,45.7%,0.0%,25.0%,40.0%,-73
Madison Keys,2015 Charleston QF,W vsDavis,32.6%,43.5%,66.7%,34.4%,50.0%,76.2%,76.9%,36.8%,0.0%,30.8%,30.8%,44.4%,11.1%,25.0%,-,-18
Madison Keys,2015 Charleston R16,W vsMitu,41.9%,48.8%,52.0%,55.6%,66.7%,50.0%,53.8%,50.0%,-,18.8%,18.8%,53.8%,0.0%,30.0%,100.0%,-104
Madison Keys,2015 Charleston R32,W vsBondarenko,43.9%,61.0%,59.1%,65.4%,80.8%,66.7%,66.7%,64.3%,0.0%,7.1%,28.6%,53.8%,0.0%,37.5%,100.0%,-42
Madison Keys,2015 Australian Open SF,L vsWilliams,35.0%,42.5%,42.9%,50.0%,58.0%,40.0%,54.5%,10.7%,20.0%,11.1%,18.5%,45.8%,9.1%,37.5%,80.0%,-4
Madison Keys,2015 Australian Open QF,W vsWilliams,22.8%,31.5%,44.9%,30.0%,40.0%,54.3%,63.0%,13.0%,100.0%,15.0%,22.5%,35.3%,7.1%,53.8%,40.0%,-46
Madison Keys,2015 Australian Open R16,W vsBrengle,21.7%,37.0%,70.6%,34.5%,58.6%,73.7%,76.9%,56.3%,-,0.0%,0.0%,66.7%,0.0%,44.4%,0.0%,-119
Madison Keys,2015 Australian Open R32,W vsKvitova,28.3%,40.0%,48.7%,32.4%,41.2%,43.5%,38.9%,25.0%,50.0%,27.3%,45.5%,56.3%,12.5%,14.3%,0.0%,82
Madison Keys,2015 Brisbane R32,W vsCibulkova,47.3%,54.5%,50.0%,57.9%,65.8%,50.0%,52.6%,15.8%,0.0%,25.0%,31.3%,50.0%,50.0%,50.0%,0.0%,-33
Madison Keys,2014 Tokyo R32,L vsSafarova,36.5%,44.8%,36.7%,43.1%,53.4%,51.5%,58.3%,55.9%,40.0%,27.0%,32.4%,18.5%,0.0%,43.8%,100.0%,-72
Madison Keys,2014 Cincinnati R32,L vsSharapova,25.3%,30.4%,46.2%,38.6%,43.2%,44.4%,75.0%,25.0%,66.7%,10.7%,17.9%,48.0%,8.3%,50.0%,100.0%,-20
Madison Keys,2014 Cincinnati R64,W vsCornet,28.1%,40.6%,47.8%,36.1%,52.8%,47.8%,53.3%,33.3%,50.0%,17.9%,25.0%,47.8%,0.0%,35.7%,0.0%,-104
Madison Keys,2014 Eastbourne F,W vsKerber,30.8%,36.5%,51.5%,46.2%,55.4%,51.4%,37.9%,33.3%,33.3%,5.7%,5.7%,51.5%,64.7%,22.2%,-,-60
Madison Keys,2014 Eastbourne SF,W vsWatson,49.0%,61.2%,48.0%,61.5%,73.1%,50.0%,50.0%,10.0%,100.0%,34.8%,47.8%,46.7%,14.3%,37.5%,66.7%,-104
Madison Keys,2014 Eastbourne QF,W vsDavis,35.4%,47.9%,60.0%,43.3%,50.0%,64.7%,66.7%,46.7%,0.0%,23.5%,47.1%,53.8%,42.9%,70.0%,100.0%,-37
Madison Keys,2014 Sydney SF,L vsKerber,19.6%,27.5%,31.6%,25.0%,39.3%,28.6%,15.4%,20.0%,100.0%,15.0%,15.0%,35.3%,0.0%,25.0%,-,31
Madison Keys,2014 Sydney R32,W vsHalep,22.4%,36.2%,46.3%,31.8%,54.5%,60.0%,37.5%,21.4%,0.0%,18.8%,28.1%,38.5%,6.3%,6.3%,25.0%,30
