Player,Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
Iga Swiatek,2025 United Cup SF,W vsRybakina,26.4%,31.9%,56.0%,30.6%,36.7%,52.9%,42.1%,43.3%,0.0%,20.0%,25.0%,62.5%,9.1%,66.7%,-,53
Iga Swiatek,2025 United Cup QF,W vsBoulter,28.4%,36.3%,46.5%,34.3%,45.7%,54.3%,41.4%,39.0%,16.7%,16.7%,16.7%,32.0%,5.9%,38.5%,-,-28
Iga Swiatek,2025 United Cup RR,W vsMuchova,18.3%,25.6%,48.5%,22.2%,29.6%,50.0%,53.1%,40.9%,66.7%,11.1%,18.5%,45.8%,20.0%,50.0%,66.7%,-61
Iga Swiatek,2025 United Cup RR,W vsHelgo,30.6%,52.8%,77.3%,45.8%,66.7%,76.9%,66.7%,46.7%,-,0.0%,33.3%,77.8%,0.0%,0.0%,-,-119
Iga Swiatek,2024 BJK Cup SF,W vsPaolini,26.6%,38.5%,48.6%,29.2%,47.2%,52.9%,46.9%,50.0%,38.5%,25.8%,25.8%,39.1%,12.5%,73.3%,0.0%,92
Iga Swiatek,2024 BJK Cup QF,W vsNoskova,34.3%,44.4%,47.6%,36.5%,47.6%,65.0%,40.7%,36.1%,66.7%,32.4%,41.2%,17.4%,11.8%,52.9%,0.0%,-37
Iga Swiatek,2024 BJK Cup R16,W vsBadosa,17.6%,26.4%,50.0%,19.0%,31.7%,56.9%,21.4%,45.7%,0.0%,16.0%,16.0%,33.3%,0.0%,46.2%,50.0%,25
Iga Swiatek,2024 Riyadh Finals RR,W vsKrejcikova,34.4%,44.1%,45.5%,43.9%,54.4%,46.9%,48.1%,40.0%,0.0%,23.3%,33.3%,43.5%,7.1%,50.0%,100.0%,97
Iga Swiatek,2024 Riyadh Finals RR,L vsGauff,15.3%,23.6%,39.0%,16.7%,27.1%,40.0%,66.7%,8.3%,0.0%,13.6%,18.2%,36.8%,20.0%,16.7%,20.0%,-3
Iga Swiatek,2024 Riyadh Finals RR,W vsKasatkina,33.3%,43.6%,60.0%,44.0%,56.0%,57.1%,62.5%,35.3%,-,15.4%,23.1%,63.6%,0.0%,50.0%,-,-18
Iga Swiatek,2024 US Open QF,L vsPegula,18.3%,30.0%,44.7%,17.1%,29.3%,47.1%,55.0%,33.3%,0.0%,23.5%,35.3%,38.5%,12.5%,100.0%,100.0%,23
Iga Swiatek,2024 US Open R16,W vsSamsonova,28.3%,39.6%,62.2%,39.4%,54.5%,80.0%,72.2%,33.3%,-,10.5%,15.8%,41.2%,16.7%,76.9%,-,-43
Iga Swiatek,2024 US Open R32,W vsPavlyuchenkova,33.3%,50.0%,66.7%,32.3%,51.6%,66.7%,53.3%,12.5%,-,40.0%,53.3%,66.7%,0.0%,44.4%,-,38
Iga Swiatek,2024 US Open R128,W vsRakhimova,28.4%,44.8%,59.6%,28.9%,44.7%,59.3%,61.5%,40.0%,33.3%,28.6%,46.4%,60.0%,7.7%,73.3%,-,-62
Iga Swiatek,2024 Cincinnati SF,L vsSabalenka,25.7%,34.3%,30.6%,34.1%,46.3%,48.1%,64.7%,12.5%,0.0%,15.4%,19.2%,9.1%,0.0%,100.0%,100.0%,21
Iga Swiatek,2024 Cincinnati QF,W vsAndreeva,35.2%,49.5%,56.1%,40.3%,53.2%,54.1%,59.4%,26.7%,-,25.9%,44.4%,60.0%,0.0%,50.0%,50.0%,-21
Iga Swiatek,2024 Cincinnati R16,W vsKostyuk,40.9%,50.0%,50.0%,35.5%,48.4%,55.0%,56.3%,40.0%,-,63.6%,63.6%,25.0%,0.0%,71.4%,-,82
Iga Swiatek,2024 Cincinnati R32,W vsGracheva,29.9%,42.9%,57.7%,40.4%,55.3%,57.1%,60.0%,25.9%,0.0%,14.3%,25.0%,58.3%,9.1%,70.6%,100.0%,-23
Iga Swiatek,2024 Paris Olympics BR,W vsSchmiedlova,30.0%,45.0%,66.7%,35.5%,48.4%,60.0%,33.3%,6.3%,0.0%,12.5%,37.5%,85.7%,0.0%,60.0%,-,9
Iga Swiatek,2024 Paris Olympics SF,L vsZheng,19.7%,29.5%,34.1%,27.3%,38.6%,34.4%,38.1%,34.8%,25.0%,0.0%,8.3%,33.3%,0.0%,100.0%,100.0%,-119
Iga Swiatek,2024 Paris Olympics QF,W vsCollins,31.0%,39.4%,43.8%,42.9%,49.0%,39.3%,58.3%,32.0%,0.0%,4.8%,19.0%,50.0%,10.0%,54.5%,100.0%,-66
Iga Swiatek,2024 Paris Olympics R16,W vsWang,8.3%,26.4%,57.8%,8.7%,30.4%,61.9%,47.6%,20.0%,0.0%,8.3%,20.8%,50.0%,0.0%,38.5%,0.0%,-30
Iga Swiatek,2024 Paris Olympics R32,W vsParry,21.6%,29.7%,69.0%,29.6%,40.7%,68.4%,50.0%,33.3%,-,0.0%,0.0%,70.0%,0.0%,50.0%,-,-119
Iga Swiatek,2024 Paris Olympics R64,W vsBegu,27.1%,39.0%,50.0%,35.9%,43.6%,52.0%,30.0%,42.1%,0.0%,10.5%,31.6%,47.1%,0.0%,76.9%,0.0%,-43
Iga Swiatek,2024 Wimbledon R32,L vsPutintseva,23.1%,38.5%,44.8%,30.8%,50.0%,44.4%,34.8%,34.5%,33.3%,8.3%,16.7%,45.5%,0.0%,72.7%,100.0%,-30
Iga Swiatek,2024 Wimbledon R64,W vsMartic,34.5%,54.5%,67.6%,36.1%,63.9%,73.9%,80.0%,33.3%,-,35.3%,41.2%,54.5%,0.0%,62.5%,-,23
Iga Swiatek,2024 Wimbledon R128,W vsKenin,47.4%,57.9%,48.3%,58.1%,67.7%,61.5%,68.8%,46.7%,0.0%,36.0%,48.0%,37.5%,10.0%,86.7%,100.0%,-57
Iga Swiatek,2024 Roland Garros F,W vsPaolini,19.0%,40.5%,61.8%,15.4%,30.8%,63.6%,45.5%,26.7%,-,25.0%,56.3%,58.3%,0.0%,75.0%,-,-104
Iga Swiatek,2024 Roland Garros SF,W vsGauff,27.0%,34.9%,52.2%,31.0%,42.9%,48.3%,55.6%,8.3%,0.0%,19.0%,19.0%,58.8%,11.1%,25.0%,0.0%,-104
Iga Swiatek,2024 Roland Garros QF,W vsVondrousova,10.3%,28.2%,71.4%,7.7%,30.8%,87.5%,10.0%,12.5%,0.0%,15.4%,23.1%,36.4%,0.0%,33.3%,-,-104
Iga Swiatek,2024 Roland Garros R16,W vsPotapova,44.4%,51.9%,80.0%,68.8%,75.0%,80.0%,37.5%,12.5%,-,9.1%,18.2%,80.0%,0.0%,42.9%,-,-104
Iga Swiatek,2024 Roland Garros R32,W vsBouzkova,12.2%,28.6%,69.0%,16.1%,29.0%,69.2%,14.3%,35.3%,0.0%,5.9%,29.4%,68.8%,0.0%,54.5%,-,-55
Iga Swiatek,2024 Roland Garros R64,W vsOsaka,13.9%,20.0%,53.1%,17.4%,21.7%,57.9%,22.6%,10.5%,50.0%,9.3%,18.6%,46.2%,5.6%,48.0%,75.0%,-25
Iga Swiatek,2024 Roland Garros R128,W vsJeanjean,29.7%,45.9%,57.7%,37.0%,51.9%,64.7%,54.5%,37.5%,0.0%,10.0%,30.0%,44.4%,0.0%,75.0%,-,-104
Iga Swiatek,2024 Rome F,W vsSabalenka,31.6%,42.1%,55.3%,38.7%,48.4%,57.9%,60.0%,43.8%,66.7%,24.0%,36.0%,52.6%,9.1%,85.7%,100.0%,-57
Iga Swiatek,2024 Rome SF,W vsGauff,25.5%,34.5%,55.0%,30.6%,41.7%,60.0%,62.5%,15.0%,0.0%,16.7%,22.2%,46.7%,0.0%,87.5%,-,-40
Iga Swiatek,2024 Rome QF,W vsKeys,37.5%,43.8%,48.7%,43.8%,50.0%,48.1%,17.4%,76.0%,83.3%,20.0%,26.7%,50.0%,12.5%,57.1%,66.7%,-28
Iga Swiatek,2024 Rome R16,W vsKerber,17.7%,38.7%,62.0%,13.3%,37.8%,61.5%,66.7%,33.3%,0.0%,31.3%,43.8%,63.6%,0.0%,87.5%,-,-33
Iga Swiatek,2024 Rome R32,W vsPutintseva,19.2%,28.8%,61.4%,22.2%,35.6%,62.9%,68.0%,45.0%,25.0%,15.4%,19.2%,59.1%,11.1%,82.4%,100.0%,-18
Iga Swiatek,2024 Rome R64,W vsPera,28.8%,40.4%,51.4%,33.3%,40.0%,55.0%,63.6%,10.5%,0.0%,22.7%,40.9%,47.1%,7.7%,66.7%,-,-104
Iga Swiatek,2024 Madrid F,W vsSabalenka,25.2%,35.3%,50.6%,29.5%,39.7%,52.7%,83.3%,22.9%,0.0%,18.9%,29.7%,46.7%,5.0%,76.5%,100.0%,14
Iga Swiatek,2024 Madrid SF,W vsKeys,16.0%,30.0%,66.7%,19.4%,30.6%,62.1%,23.1%,47.8%,100.0%,7.1%,28.6%,76.9%,11.1%,100.0%,100.0%,-104
Iga Swiatek,2024 Madrid QF,W vsHaddad Maia,28.6%,35.7%,51.1%,32.7%,36.7%,45.5%,40.0%,16.7%,0.0%,22.2%,38.9%,64.3%,0.0%,22.2%,100.0%,68
Iga Swiatek,2024 Madrid R16,W vsSorribes Tormo,10.5%,18.4%,69.7%,16.7%,25.0%,70.0%,63.6%,53.8%,-,0.0%,7.7%,69.2%,0.0%,57.1%,-,-119
Iga Swiatek,2024 Madrid R32,W vsCirstea,20.0%,31.1%,58.3%,20.7%,31.0%,56.5%,76.9%,31.3%,0.0%,18.8%,31.3%,61.5%,0.0%,70.0%,-,-104
Iga Swiatek,2024 Madrid R64,W vsWang,25.0%,40.4%,55.6%,30.3%,51.5%,60.9%,52.9%,37.5%,0.0%,18.8%,25.0%,46.2%,0.0%,66.7%,100.0%,63
Iga Swiatek,2024 Stuttgart SF,L vsRybakina,14.2%,28.3%,54.8%,14.8%,32.8%,57.7%,80.8%,34.3%,20.0%,15.8%,26.3%,50.0%,11.1%,75.0%,85.7%,35
Iga Swiatek,2024 Stuttgart QF,W vsRaducanu,19.7%,37.7%,66.7%,17.5%,32.5%,69.7%,52.9%,17.4%,0.0%,25.0%,50.0%,60.0%,0.0%,54.5%,-,-46
Iga Swiatek,2024 Stuttgart R16,W vsMertens,18.8%,35.9%,52.9%,20.8%,37.5%,55.3%,73.9%,36.0%,0.0%,13.3%,33.3%,46.2%,0.0%,77.8%,-,-28
Iga Swiatek,2024 BJK Cup RR,W vsNaef,26.9%,40.4%,51.4%,32.5%,50.0%,59.3%,57.9%,28.6%,33.3%,9.1%,9.1%,30.0%,0.0%,66.7%,100.0%,-23
Iga Swiatek,2024 BJK Cup RR,W vsWaltert,26.4%,34.0%,57.9%,30.6%,41.7%,64.0%,62.5%,15.0%,0.0%,18.8%,18.8%,46.2%,10.0%,83.3%,100.0%,-33
Iga Swiatek,2024 Miami R16,L vsAlexandrova,32.1%,42.9%,37.8%,42.5%,50.0%,34.8%,66.7%,18.2%,0.0%,6.7%,26.7%,42.9%,0.0%,57.1%,-,-47
