Player,Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
Jessica Pegula,2021 Australian Open QF,L vsBrady,61.0%,55.3%,9.1%,3/4,2.46,3.7%,47.4%,38.9%,13.2%,2.52,6.9%,85.3%,65.5%,5.9%,2.38,0.0%
Jessica Pegula,2021 Australian Open R16,W vsSvitolina,71.9%,52.2%,2.1%,1/1,2.48,11.9%,66.1%,46.2%,0.0%,2.33,17.5%,88.2%,60.0%,5.9%,2.81,0.0%
Jessica Pegula,2021 Australian Open R64,W vsStosur,71.4%,76.7%,7.1%,1/2,2.57,16.0%,69.2%,77.8%,7.7%,2.49,17.6%,100.0%,75.0%,8.3%,2.73,12.5%
Jessica Pegula,2021 Australian Open R128,W vsAzarenka,66.7%,47.9%,11.1%,5/3,2.70,5.7%,76.2%,46.9%,4.8%,2.61,11.1%,69.6%,50.0%,26.1%,2.80,0.0%
Jessica Pegula,2020 Roland Garros R128,L vsSabalenka,71.2%,52.4%,3.4%,0/2,2.67,8.9%,82.9%,51.7%,0.0%,2.78,11.1%,59.1%,53.8%,9.1%,2.49,5.6%
Jessica Pegula,2020 Cincinnati QF,L vsMertens,71.7%,36.4%,8.7%,2/2,2.36,3.0%,63.0%,35.3%,11.1%,2.38,4.8%,94.1%,37.5%,5.9%,2.34,0.0%
Jessica Pegula,2020 Cincinnati R16,W vsSabalenka,67.0%,58.7%,8.5%,0/8,2.56,8.0%,77.8%,57.1%,1.9%,2.69,10.9%,65.6%,61.9%,21.9%,2.34,3.4%
Jessica Pegula,2020 Auckland F,L vsWilliams,74.2%,42.9%,12.1%,5/3,2.70,5.1%,72.1%,38.7%,9.3%,2.63,8.1%,78.3%,50.0%,17.4%,2.82,0.0%
Jessica Pegula,2020 Auckland SF,W vsWozniacki,72.2%,57.9%,2.5%,2/0,2.39,9.1%,71.4%,55.0%,1.8%,2.28,14.3%,85.0%,64.7%,5.0%,2.60,0.0%
Jessica Pegula,2019 Beijing R64,L vsOsaka,67.6%,54.0%,5.4%,1/3,2.18,0.0%,64.9%,37.5%,2.7%,2.14,0.0%,74.3%,69.2%,8.6%,2.24,0.0%
Jessica Pegula,2019 Washington F,W vsGiorgi,63.8%,70.0%,6.4%,2/1,3.01,4.0%,67.7%,61.9%,3.2%,2.94,6.3%,69.2%,88.9%,15.4%,3.13,0.0%
Jessica Pegula,2019 Washington SF,W vsKalinskaya,68.4%,48.1%,3.9%,1/2,2.48,5.7%,73.3%,39.4%,2.2%,2.45,10.7%,79.2%,63.2%,8.3%,2.52,0.0%
Jessica Pegula,2019 Washington R16,W vsSwiatek,64.4%,63.8%,13.3%,8/4,2.33,9.6%,65.2%,56.7%,8.7%,2.47,15.2%,70.0%,71.4%,20.0%,2.16,2.7%
Jessica Pegula,2019 Newport Beach F,L vsAndreescu,66.7%,59.6%,6.4%,3/2,3.14,10.4%,68.1%,59.4%,6.4%,2.92,17.2%,76.9%,60.0%,7.7%,3.51,0.0%
Jessica Pegula,2018 Quebec City F,L vsParmentier,72.1%,49.0%,5.9%,2/2,2.51,11.8%,67.4%,51.7%,7.0%,2.57,20.7%,83.3%,45.0%,4.2%,2.44,0.0%
Jessica Pegula,2018 Quebec City SF,W vsKenin,71.6%,53.4%,3.9%,3/1,2.73,9.1%,78.2%,60.5%,3.6%,2.77,16.7%,73.2%,43.3%,4.9%,2.68,0.0%
Jessica Pegula,2016 Washington SF,L vsDavis,63.3%,57.9%,15.0%,4/5,2.48,1.9%,69.4%,60.0%,5.6%,2.30,3.8%,65.0%,53.8%,35.0%,2.66,0.0%
Jessica Pegula,2015 US Open R128,W vsVan Uytvanck,67.6%,52.1%,2.8%,0/2,2.46,2.4%,60.0%,33.3%,3.3%,2.54,4.2%,78.9%,63.3%,2.6%,2.34,0.0%
Jessica Pegula,2015 Dothan AL $50K QF,L vsChirico,61.0%,52.5%,5.0%,4/0,2.52,4.0%,64.4%,42.1%,3.4%,2.41,7.0%,74.2%,69.6%,9.7%,2.65,0.0%
Mirra Andreeva,2025 Montreal R32,L vsKessler,72.0%,55.6%,4.0%,1/2,2.45,18.9%,79.2%,52.6%,2.1%,2.39,33.3%,84.2%,62.5%,10.5%,2.53,0.0%
Mirra Andreeva,2025 Wimbledon QF,L vsBencic,67.9%,43.9%,10.7%,2/7,2.35,22.6%,69.4%,39.5%,3.2%,2.10,40.0%,70.0%,57.1%,35.0%,2.67,0.0%
Mirra Andreeva,2025 Wimbledon R16,W vsNavarro,85.2%,60.9%,5.6%,1/2,2.34,9.1%,87.9%,55.2%,3.0%,2.45,18.8%,94.4%,70.6%,11.1%,2.24,0.0%
Mirra Andreeva,2025 Wimbledon R32,W vsBaptiste,79.2%,65.8%,4.2%,1/1,2.22,26.0%,75.0%,66.7%,0.0%,2.39,22.6%,95.2%,65.0%,9.5%,1.95,31.6%
Mirra Andreeva,2025 Wimbledon R64,W vsBronzetti,78.5%,49.0%,1.5%,1/0,2.48,0.0%,85.7%,40.0%,0.0%,2.33,0.0%,87.5%,61.9%,4.2%,2.64,0.0%
Mirra Andreeva,2025 Wimbledon R128,W vsSherif,80.6%,61.1%,3.0%,0/2,2.64,25.0%,78.0%,59.0%,0.0%,2.68,40.9%,93.8%,66.7%,12.5%,2.59,0.0%
Mirra Andreeva,2025 Bad Homburg QF,L vsNoskova,74.5%,34.1%,10.9%,3/3,2.22,17.9%,73.3%,22.7%,10.0%,2.21,35.0%,79.2%,47.4%,12.5%,2.24,0.0%
Mirra Andreeva,2025 Bad Homburg R16,W vsTauson,71.4%,55.0%,2.4%,0/2,1.99,14.7%,69.5%,48.8%,0.0%,1.97,18.5%,82.6%,68.4%,8.7%,2.06,0.0%
Mirra Andreeva,2025 Roland Garros QF,L vsBoisson,75.3%,51.6%,3.5%,3/0,2.42,8.0%,72.4%,52.4%,1.7%,2.59,12.0%,91.7%,50.0%,8.3%,2.10,0.0%
Mirra Andreeva,2025 Roland Garros R16,W vsKasatkina,82.5%,51.9%,3.2%,1/1,2.33,10.9%,86.0%,53.5%,2.0%,2.57,16.7%,81.8%,44.4%,9.1%,1.88,0.0%
Mirra Andreeva,2025 Roland Garros R32,W vsPutintseva,90.3%,57.1%,0.0%,0/0,2.63,3.0%,91.8%,48.9%,0.0%,2.75,3.8%,91.7%,90.9%,0.0%,2.20,0.0%
Mirra Andreeva,2025 Roland Garros R64,W vsKrueger,80.8%,57.1%,5.8%,1/2,2.40,11.1%,81.3%,53.8%,3.1%,2.39,13.6%,100.0%,62.5%,12.5%,2.41,7.1%
Mirra Andreeva,2025 Roland Garros R128,W vsBucsa,84.0%,50.0%,2.0%,1/0,2.48,2.2%,87.1%,48.1%,0.0%,2.43,5.0%,88.2%,53.3%,5.9%,2.51,0.0%
Mirra Andreeva,2025 Rome QF,L vsGauff,75.4%,39.1%,1.6%,1/0,2.10,4.7%,73.2%,36.7%,0.0%,2.26,8.1%,88.9%,43.8%,5.6%,1.88,0.0%
Mirra Andreeva,2025 Rome R16,W vsTauson,71.6%,51.5%,2.1%,1/1,2.32,12.7%,72.7%,42.5%,1.8%,2.20,17.8%,80.0%,64.3%,2.9%,2.51,3.8%
Mirra Andreeva,2025 Rome R32,W vsNoskova,72.6%,53.3%,6.5%,2/2,2.64,7.1%,75.7%,42.9%,5.4%,2.73,11.1%,89.5%,70.6%,10.5%,2.48,0.0%
Mirra Andreeva,2025 Rome R64,W vsArango,88.5%,61.1%,3.3%,2/0,2.29,14.3%,87.5%,59.5%,2.1%,2.14,17.8%,100.0%,66.7%,8.3%,2.90,0.0%
Mirra Andreeva,2025 Madrid QF,L vsGauff,68.0%,38.2%,0.0%,0/0,2.04,1.6%,69.2%,22.2%,0.0%,2.02,2.6%,72.7%,56.3%,0.0%,2.08,0.0%
Mirra Andreeva,2025 Madrid R32,W vsFrech,75.4%,46.9%,0.0%,0/0,2.41,11.8%,75.7%,35.7%,0.0%,2.39,16.2%,87.5%,61.9%,0.0%,2.46,0.0%
Mirra Andreeva,2025 Madrid R64,W vsBouzkova,76.3%,53.3%,0.0%,0/0,2.32,9.8%,79.4%,59.3%,0.0%,2.39,20.8%,81.8%,44.4%,0.0%,2.26,0.0%
Mirra Andreeva,2025 Stuttgart R16,L vsAlexandrova,58.0%,58.6%,14.0%,4/3,2.21,5.9%,56.3%,61.1%,12.5%,2.50,7.7%,68.8%,54.5%,18.8%,2.02,4.8%
Mirra Andreeva,2025 Stuttgart R32,W vsAndreeva,68.4%,76.9%,0.0%,0/0,2.34,11.1%,77.8%,85.7%,0.0%,2.38,16.7%,75.0%,66.7%,0.0%,2.28,0.0%
Mirra Andreeva,2025 Miami R32,L vsAnisimova,72.4%,52.4%,7.8%,5/4,2.55,4.9%,78.1%,54.4%,4.1%,2.49,8.3%,73.0%,48.1%,16.2%,2.64,0.0%
Mirra Andreeva,2025 Miami R64,W vsKudermetova,64.4%,68.4%,1.7%,0/1,2.70,10.5%,68.6%,66.7%,0.0%,3.21,28.6%,82.4%,71.4%,5.9%,2.40,0.0%
Mirra Andreeva,2025 Indian Wells F,W vsSabalenka,76.1%,55.7%,4.3%,3/1,2.53,23.3%,72.7%,50.0%,5.5%,2.63,35.0%,83.3%,63.3%,2.8%,2.33,0.0%
Mirra Andreeva,2025 Indian Wells SF,W vsSwiatek,75.0%,47.6%,8.3%,5/2,2.43,10.6%,77.8%,50.0%,9.3%,2.44,20.6%,77.8%,42.9%,7.4%,2.43,0.0%
Mirra Andreeva,2025 Indian Wells QF,W vsSvitolina,80.6%,46.6%,1.4%,0/1,2.26,12.5%,84.6%,33.3%,0.0%,2.13,20.0%,86.2%,64.0%,3.4%,2.48,0.0%
Mirra Andreeva,2025 Indian Wells R16,W vsRybakina,81.8%,62.2%,3.6%,1/1,2.31,6.9%,82.8%,58.3%,3.4%,2.68,11.8%,95.5%,66.7%,4.5%,1.78,0.0%
Mirra Andreeva,2025 Indian Wells R32,W vsTauson,77.1%,64.9%,2.1%,1/0,2.63,14.8%,77.8%,57.1%,3.7%,2.72,17.6%,84.2%,75.0%,0.0%,2.48,10.0%
Mirra Andreeva,2025 Indian Wells R64,W vsGracheva,74.6%,58.5%,4.2%,2/1,2.45,9.4%,81.1%,53.3%,8.1%,2.43,15.6%,79.3%,65.2%,0.0%,2.47,0.0%
Mirra Andreeva,2025 Dubai F,W vsTauson,77.3%,56.9%,3.0%,2/0,2.25,13.0%,78.4%,48.3%,5.4%,2.46,20.7%,88.0%,68.2%,0.0%,1.91,0.0%
Mirra Andreeva,2025 Dubai SF,W vsRybakina,77.8%,47.1%,11.1%,2/8,2.51,2.7%,74.5%,43.9%,3.6%,2.59,5.0%,90.6%,51.7%,25.0%,2.41,0.0%
Mirra Andreeva,2025 Dubai QF,W vsSwiatek,83.6%,56.9%,14.8%,4/5,2.45,4.7%,85.1%,57.5%,6.4%,2.62,11.8%,91.7%,54.5%,50.0%,2.33,0.0%
Mirra Andreeva,2025 Dubai R16,W vsStearns,78.6%,70.5%,5.4%,2/1,2.50,3.0%,81.5%,77.3%,3.7%,2.33,5.0%,84.6%,63.6%,7.7%,2.76,0.0%
Mirra Andreeva,2025 Dubai R32,W vsVondrousova,59.7%,64.9%,9.7%,0/6,2.44,30.3%,70.4%,73.7%,14.8%,2.51,45.5%,72.0%,55.6%,8.0%,2.28,0.0%
Mirra Andreeva,2025 Dubai R64,W vsAvanesyan,78.0%,66.7%,6.0%,0/3,2.68,3.4%,84.8%,64.3%,0.0%,2.59,4.8%,84.6%,72.7%,23.1%,2.94,0.0%
Mirra Andreeva,2025 Doha R32,L vsSramkova,71.9%,52.2%,6.3%,1/5,2.29,3.0%,77.3%,47.1%,4.5%,2.30,4.7%,78.3%,66.7%,13.0%,2.26,0.0%
Mirra Andreeva,2025 Doha R64,W vsVolynets,79.8%,53.0%,1.9%,0/2,-,13.4%,82.4%,50.0%,1.2%,-,21.2%,72.2%,69.2%,5.6%,-,5.9%
Mirra Andreeva,2025 Australian Open R16,L vsSabalenka,70.4%,42.1%,3.7%,1/1,2.83,8.7%,63.9%,34.8%,5.6%,2.75,18.2%,83.3%,53.3%,0.0%,2.91,0.0%
Mirra Andreeva,2025 Australian Open R32,W vsFrech,83.3%,55.4%,2.6%,1/1,2.27,17.2%,84.0%,52.4%,4.0%,2.36,27.8%,85.2%,60.9%,0.0%,2.13,0.0%
Mirra Andreeva,2025 Australian Open R64,W vsUchijima,70.2%,46.6%,4.8%,4/1,-,17.8%,69.5%,36.6%,1.7%,-,33.3%,80.0%,59.4%,10.0%,-,0.0%
Mirra Andreeva,2025 Australian Open R128,W vsBouzkova,78.6%,70.5%,1.8%,0/1,2.10,10.3%,77.5%,64.5%,0.0%,2.11,14.0%,86.7%,84.6%,6.7%,2.07,0.0%
Mirra Andreeva,2025 Brisbane SF,L vsSabalenka,78.2%,44.3%,3.8%,1/2,2.66,8.6%,72.1%,35.5%,4.7%,2.70,15.8%,88.2%,53.3%,2.9%,2.60,0.0%
Mirra Andreeva,2025 Brisbane R16,W vsNoskova,69.0%,72.4%,9.5%,0/4,2.18,23.1%,70.0%,78.6%,10.0%,2.10,34.8%,71.4%,66.7%,9.5%,2.30,6.3%
Mirra Andreeva,2024 Ningbo F,L vsKasatkina,82.7%,40.3%,0.0%,0/0,2.71,8.6%,87.3%,39.6%,0.0%,2.70,12.2%,87.5%,42.9%,0.0%,2.71,0.0%
Mirra Andreeva,2024 Wuhan R32,L vsAndreeva,74.2%,53.1%,0.0%,0/0,2.57,6.4%,71.4%,52.0%,0.0%,2.43,10.7%,82.8%,54.2%,0.0%,2.79,0.0%
Mirra Andreeva,2024 Beijing QF,L vsZheng,67.4%,58.6%,12.8%,2/9,2.39,1.2%,60.0%,41.7%,10.0%,2.24,2.0%,89.5%,70.6%,18.4%,2.61,0.0%
Mirra Andreeva,2024 Beijing R16,W vsLinette,81.1%,76.7%,1.9%,0/1,2.38,0.0%,85.0%,73.5%,0.0%,2.40,0.0%,69.2%,88.9%,7.7%,2.37,0.0%
Mirra Andreeva,2024 US Open R64,L vsKrueger,69.8%,43.2%,13.2%,2/5,2.31,10.0%,73.3%,31.8%,6.7%,2.11,18.8%,78.9%,60.0%,26.3%,2.54,0.0%
Mirra Andreeva,2024 Cincinnati QF,L vsSwiatek,62.6%,43.9%,7.7%,2/5,2.38,7.1%,59.7%,45.9%,6.5%,2.17,10.5%,74.1%,40.0%,11.1%,2.64,3.1%
Mirra Andreeva,2024 Cincinnati R16,W vsPaolini,75.0%,60.9%,4.3%,1/3,2.88,14.8%,74.6%,56.8%,0.0%,2.71,22.2%,78.1%,68.0%,12.5%,3.23,0.0%
Mirra Andreeva,2024 Iasi F,W vsAvanesyan,84.6%,57.1%,1.1%,1/0,2.94,0.0%,87.0%,58.2%,0.0%,3.04,0.0%,90.9%,50.0%,9.1%,2.75,0.0%
Mirra Andreeva,2024 Roland Garros SF,L vsPaolini,75.0%,46.7%,3.3%,1/1,2.20,0.0%,75.0%,44.4%,2.1%,2.03,0.0%,75.0%,55.6%,8.3%,2.50,0.0%
Mirra Andreeva,2024 Roland Garros QF,W vsSabalenka,74.8%,58.8%,9.3%,8/2,2.51,10.4%,77.2%,61.4%,8.8%,2.47,13.9%,81.8%,55.6%,11.4%,2.56,6.5%
Mirra Andreeva,2024 Roland Garros R16,W vsGracheva,87.7%,56.1%,3.1%,0/2,2.64,2.3%,93.2%,56.1%,0.0%,2.50,5.3%,80.0%,56.3%,10.0%,2.77,0.0%
Mirra Andreeva,2024 Roland Garros R32,W vsStearns,88.9%,58.3%,3.7%,2/0,-,0.0%,91.4%,62.5%,0.0%,-,0.0%,94.1%,50.0%,11.8%,-,0.0%
Mirra Andreeva,2024 Roland Garros R64,W vsAzarenka,87.4%,61.4%,7.4%,4/3,2.31,0.0%,86.4%,57.9%,4.5%,2.50,0.0%,92.9%,69.2%,14.3%,2.15,0.0%
Mirra Andreeva,2024 Rome R128,L vsBadosa,73.4%,42.6%,1.6%,0/1,2.39,11.1%,72.1%,45.2%,0.0%,2.36,16.7%,94.1%,37.5%,5.9%,2.46,0.0%
Mirra Andreeva,2024 Madrid QF,L vsSabalenka,78.8%,31.7%,11.5%,5/1,2.60,4.8%,75.8%,28.0%,12.1%,2.71,4.5%,88.9%,37.5%,11.1%,2.48,5.0%
Mirra Andreeva,2024 Madrid R16,W vsPaolini,84.8%,58.9%,4.5%,2/1,2.97,1.4%,88.2%,55.6%,3.9%,2.93,2.2%,78.6%,72.7%,7.1%,3.02,0.0%
Mirra Andreeva,2024 Madrid R64,W vsNoskova,77.0%,55.2%,8.0%,3/4,2.15,13.9%,81.8%,44.4%,5.5%,2.23,18.2%,88.0%,77.3%,16.0%,2.02,7.1%
Mirra Andreeva,2024 Rouen QF,L vsKalinina,82.0%,50.0%,0.0%,0/0,2.27,0.0%,77.8%,53.6%,0.0%,2.24,0.0%,95.7%,45.5%,0.0%,2.41,0.0%
Mirra Andreeva,2024 Rouen R16,W vsAvanesyan,80.9%,56.4%,2.9%,1/1,2.55,0.0%,81.6%,61.3%,5.3%,2.57,0.0%,85.7%,50.0%,0.0%,2.49,0.0%
Mirra Andreeva,2024 Rouen R32,W vsPodoroska,91.5%,65.1%,2.1%,0/1,2.50,12.2%,93.9%,61.3%,3.0%,2.61,20.8%,85.7%,75.0%,0.0%,2.34,0.0%
Mirra Andreeva,2024 Australian Open R16,L vsKrejcikova,73.6%,45.3%,5.7%,1/4,2.76,11.3%,74.1%,50.0%,1.9%,2.80,16.7%,85.7%,37.5%,14.3%,2.68,0.0%
Mirra Andreeva,2024 Australian Open R32,W vsParry,82.2%,54.1%,0.0%,0/0,2.64,66.2%,78.2%,46.5%,0.0%,2.70,81.8%,91.2%,64.5%,0.0%,2.45,12.5%
Mirra Andreeva,2024 Australian Open R64,W vsJabeur,79.5%,74.2%,0.0%,0/0,2.07,29.6%,73.7%,78.6%,0.0%,2.36,37.5%,85.0%,70.6%,0.0%,1.64,18.2%
Mirra Andreeva,2023 US Open R64,L vsGauff,68.8%,30.3%,8.3%,2/2,2.24,4.3%,66.7%,22.2%,7.4%,2.25,8.3%,83.3%,40.0%,11.1%,2.24,0.0%
Mirra Andreeva,2023 Lausanne R16,L vsBondar,70.0%,42.9%,0.0%,0/0,2.24,6.7%,61.5%,25.0%,0.0%,2.23,10.5%,83.3%,60.0%,0.0%,2.27,0.0%
Mirra Andreeva,2023 Roland Garros R32,L vsGauff,74.0%,33.3%,13.7%,5/5,2.37,1.3%,77.3%,35.3%,4.5%,2.38,2.4%,95.2%,30.0%,38.1%,2.35,0.0%
Mirra Andreeva,2023 Roland Garros R64,W vsParry,89.8%,54.7%,1.7%,1/0,2.34,22.9%,97.0%,50.0%,0.0%,2.55,38.1%,95.5%,61.9%,4.5%,2.03,0.0%
Mirra Andreeva,2023 Roland Garros R128,W vsRiske Amritraj,83.3%,73.3%,0.0%,0/0,3.09,0.0%,88.0%,72.7%,0.0%,3.12,0.0%,80.0%,75.0%,0.0%,3.05,0.0%
Mirra Andreeva,2023 Madrid R16,L vsSabalenka,73.3%,42.4%,11.1%,2/3,2.49,4.2%,70.8%,47.1%,12.5%,2.64,3.6%,76.2%,37.5%,9.5%,2.30,5.0%
Mirra Andreeva,2023 Madrid R32,W vsLinette,89.7%,55.8%,3.4%,1/1,2.48,2.3%,85.7%,50.0%,2.9%,2.41,4.0%,95.7%,63.6%,4.3%,2.57,0.0%
Mirra Andreeva,2023 Madrid R64,W vsHaddad Maia,74.2%,56.1%,5.6%,2/3,2.61,5.1%,76.2%,60.4%,4.8%,2.59,10.3%,81.8%,44.4%,9.1%,2.63,0.0%
Mirra Andreeva,2023 Madrid R128,W vsFernandez,72.3%,50.0%,2.1%,0/1,2.19,2.1%,75.9%,54.5%,0.0%,2.03,2.9%,75.0%,41.7%,6.3%,2.63,0.0%
Mirra Andreeva,2023 W60 Chiasso Q2,W vsGranwehr,87.5%,65.7%,5.0%,1/1,2.57,8.8%,81.0%,64.7%,4.8%,2.87,15.0%,100.0%,66.7%,5.6%,2.15,0.0%
Mirra Andreeva,2022 Monastir R32,L vsPotapova,77.2%,46.2%,5.9%,1/5,2.59,0.0%,81.3%,42.3%,1.6%,2.59,0.0%,83.9%,53.8%,16.1%,2.60,0.0%
Jasmine Paolini,2025 Cincinnati QF,W vsGauff,60.7%,51.0%,3.6%,1/2,2.55,0.0%,73.3%,45.5%,4.4%,2.49,0.0%,78.3%,61.1%,4.3%,2.65,0.0%
Jasmine Paolini,2025 Wimbledon R64,L vsRakhimova,73.8%,38.2%,2.9%,1/2,2.65,6.3%,77.6%,30.8%,1.5%,2.60,10.4%,88.9%,54.2%,7.4%,2.73,0.0%
Jasmine Paolini,2025 Bad Homburg SF,L vsSwiatek,66.7%,39.3%,7.1%,2/1,2.44,2.4%,61.3%,31.6%,6.5%,2.32,3.1%,90.0%,55.6%,10.0%,2.83,0.0%
Jasmine Paolini,2025 Roland Garros R16,L vsSvitolina,82.4%,55.1%,7.4%,5/3,2.33,1.2%,83.1%,55.6%,7.7%,2.42,1.6%,89.7%,54.3%,7.7%,2.09,0.0%
Jasmine Paolini,2025 Rome F,W vsGauff,70.7%,58.5%,13.8%,6/2,2.86,0.0%,77.4%,62.5%,16.1%,2.82,0.0%,85.0%,52.9%,15.0%,3.00,0.0%
Jasmine Paolini,2025 Madrid R64,W vsBoulter,72.2%,76.9%,16.7%,2/4,2.82,2.6%,82.6%,73.7%,21.7%,3.01,3.7%,87.5%,85.7%,12.5%,2.40,0.0%
Jasmine Paolini,2025 Stuttgart SF,L vsSabalenka,70.1%,61.7%,14.9%,4/6,2.75,3.8%,56.8%,52.4%,13.5%,2.84,5.0%,92.9%,69.2%,17.9%,2.48,0.0%
Jasmine Paolini,2025 Stuttgart R32,W vsLys,78.0%,69.2%,10.0%,2/3,2.11,0.0%,86.7%,84.6%,6.7%,1.91,0.0%,81.3%,38.5%,18.8%,2.44,0.0%
Jasmine Paolini,2025 Miami SF,L vsSabalenka,74.5%,34.2%,17.6%,4/5,2.50,16.7%,77.5%,29.0%,5.0%,2.37,28.6%,77.8%,57.1%,77.8%,2.68,0.0%
Jasmine Paolini,2025 Miami QF,W vsLinette,73.3%,60.6%,17.8%,4/4,2.58,0.0%,68.0%,52.9%,24.0%,2.51,0.0%,84.2%,68.8%,10.5%,2.70,0.0%
Jasmine Paolini,2025 Indian Wells R16,L vsSamsonova,67.4%,37.9%,14.0%,1/5,2.51,0.0%,64.5%,40.0%,12.9%,2.61,0.0%,81.8%,33.3%,18.2%,2.14,0.0%
Jasmine Paolini,2025 Indian Wells R64,W vsJovic,80.9%,53.9%,5.3%,1/4,2.52,0.0%,81.0%,53.2%,3.4%,2.73,0.0%,82.9%,55.2%,8.6%,2.26,0.0%
Jasmine Paolini,2025 Dubai R32,W vsLys,75.0%,62.2%,6.7%,0/4,2.69,0.0%,80.0%,60.7%,5.7%,2.57,0.0%,77.3%,64.7%,9.1%,2.89,0.0%
Jasmine Paolini,2025 Australian Open R32,L vsSvitolina,71.6%,43.4%,1.4%,1/0,2.73,4.8%,63.9%,26.1%,0.0%,2.51,6.8%,90.9%,56.7%,3.0%,3.27,0.0%
Jasmine Paolini,2025 Australian Open R128,W vsWei,73.6%,61.5%,9.4%,3/2,2.75,2.3%,71.4%,56.0%,2.9%,2.84,3.2%,87.5%,71.4%,25.0%,2.55,0.0%
Jasmine Paolini,2025 United Cup QF,L vsMuchova,59.2%,60.0%,7.9%,2/4,2.68,20.4%,55.1%,63.0%,2.0%,2.63,21.9%,72.0%,55.6%,20.0%,2.78,17.6%
Jasmine Paolini,2025 United Cup RR,W vsBencic,79.5%,74.3%,18.2%,3/5,2.42,4.0%,95.7%,63.6%,8.7%,2.55,6.7%,86.7%,92.3%,40.0%,2.24,0.0%
Jasmine Paolini,2024 BJK Cup F,W vsSramkova,68.2%,76.7%,0.0%,0/0,2.84,3.6%,72.4%,71.4%,0.0%,2.85,7.1%,75.0%,88.9%,0.0%,2.83,0.0%
Jasmine Paolini,2024 BJK Cup SF,L vsSwiatek,67.9%,51.4%,6.4%,3/4,2.64,4.1%,70.8%,47.1%,1.4%,2.51,7.0%,74.2%,60.9%,19.4%,2.84,0.0%
Jasmine Paolini,2024 BJK Cup QF,W vsUchijima,64.1%,58.5%,1.6%,1/0,2.52,9.1%,65.7%,56.5%,0.0%,2.51,15.8%,78.3%,61.1%,4.3%,2.54,0.0%
Jasmine Paolini,2024 Riyadh Finals RR,W vsRybakina,67.1%,53.2%,12.9%,3/6,2.79,3.3%,55.6%,55.0%,5.6%,2.75,5.9%,81.8%,51.9%,21.2%,2.84,0.0%
Jasmine Paolini,2024 Riyadh Finals RR,L vsSabalenka,66.2%,41.9%,12.3%,7/1,2.22,8.0%,71.4%,40.0%,11.9%,2.17,6.3%,76.5%,46.2%,17.6%,2.31,11.1%
Jasmine Paolini,2024 Riyadh Finals RR,L vsZheng,53.2%,60.0%,19.1%,3/6,2.61,2.6%,33.3%,70.0%,16.7%,2.50,5.0%,88.2%,53.3%,23.5%,2.74,0.0%
Jasmine Paolini,2024 Wuhan R16,W vsAndreeva,71.1%,65.6%,0.0%,0/0,2.96,5.9%,69.2%,61.1%,0.0%,2.95,8.7%,73.7%,71.4%,0.0%,2.99,0.0%
Jasmine Paolini,2024 Beijing R32,L vsLinette,83.3%,53.3%,15.3%,4/7,2.57,2.1%,77.5%,45.2%,17.5%,2.53,3.2%,90.6%,62.1%,12.5%,2.64,0.0%
Jasmine Paolini,2024 US Open R16,L vsMuchova,59.1%,38.5%,4.5%,0/2,2.67,7.9%,53.6%,33.3%,3.6%,2.59,12.0%,68.8%,45.5%,6.3%,2.84,0.0%
Jasmine Paolini,2024 US Open R32,W vsPutintseva,75.4%,59.2%,3.1%,0/2,2.37,9.4%,77.1%,59.5%,4.2%,2.42,16.1%,80.0%,58.3%,0.0%,2.30,0.0%
Jasmine Paolini,2024 US Open R128,W vsAndreescu,73.0%,52.8%,9.0%,6/5,2.37,2.7%,81.7%,52.2%,3.7%,2.36,4.2%,68.8%,54.5%,25.0%,2.37,0.0%
Jasmine Paolini,2024 Cincinnati R16,L vsAndreeva,65.9%,44.4%,4.9%,2/2,2.57,20.3%,67.9%,41.7%,0.0%,2.54,31.8%,78.3%,50.0%,17.4%,2.63,0.0%
Jasmine Paolini,2024 Paris Olympics R16,L vsSchmiedlova,72.4%,61.8%,5.7%,2/4,2.71,2.7%,71.7%,60.5%,8.3%,2.59,3.9%,82.5%,63.6%,2.5%,2.99,0.0%
Jasmine Paolini,2024 Paris Olympics R32,W vsLinette,83.9%,58.9%,1.1%,0/1,2.63,0.0%,89.6%,51.2%,2.1%,2.62,0.0%,83.3%,70.0%,0.0%,2.64,0.0%
Jasmine Paolini,2024 Wimbledon F,L vsKrejcikova,61.8%,42.6%,5.3%,4/0,2.59,27.4%,60.7%,44.1%,7.1%,2.67,36.2%,76.5%,38.5%,0.0%,2.37,0.0%
Jasmine Paolini,2024 Wimbledon SF,W vsVekic,60.0%,46.7%,12.0%,7/5,2.56,2.0%,51.7%,33.3%,5.2%,2.49,3.3%,85.7%,60.0%,25.7%,2.66,0.0%
Jasmine Paolini,2024 Wimbledon QF,W vsNavarro,70.6%,75.0%,5.9%,1/1,2.51,4.9%,69.6%,62.5%,4.3%,2.59,7.4%,100.0%,100.0%,12.5%,2.36,0.0%
Jasmine Paolini,2024 Wimbledon R16,W vsKeys,70.1%,65.9%,12.8%,12/3,2.54,12.5%,67.1%,67.3%,11.0%,2.52,13.2%,84.4%,63.0%,18.8%,2.61,10.5%
