Player,Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
Iga Swiatek,2024 Rome QF,W vsKeys,75.6%,51.6%,2.4%,1/0,2.57,2.6%,82.6%,47.4%,4.3%,2.61,3.7%,80.0%,58.3%,0.0%,2.48,0.0%
Iga Swiatek,2024 Rome R16,W vsKerber,71.0%,53.1%,2.9%,1/1,2.39,8.0%,74.4%,53.1%,4.7%,2.58,10.3%,85.0%,52.9%,0.0%,1.70,0.0%
Iga Swiatek,2024 Rome R32,W vsPutintseva,75.4%,52.2%,1.6%,0/1,2.55,0.0%,78.3%,41.7%,0.0%,2.50,0.0%,76.9%,90.0%,7.7%,2.64,0.0%
Iga Swiatek,2024 Rome R64,W vsPera,77.0%,66.0%,11.5%,6/1,2.94,13.5%,76.9%,63.3%,5.1%,2.97,20.0%,94.4%,70.6%,27.8%,2.90,5.9%
Iga Swiatek,2024 Madrid F,W vsSabalenka,70.3%,53.0%,1.7%,2/0,2.70,5.9%,64.7%,50.0%,2.9%,2.81,9.1%,84.8%,56.4%,0.0%,2.50,0.0%
Iga Swiatek,2024 Madrid SF,W vsKeys,77.8%,65.7%,2.2%,1/0,2.20,2.4%,75.0%,61.9%,3.6%,2.12,3.4%,87.5%,71.4%,0.0%,2.37,0.0%
Iga Swiatek,2024 Madrid QF,W vsHaddad Maia,79.2%,60.5%,4.2%,1/3,2.37,0.0%,85.7%,64.8%,4.8%,2.52,0.0%,81.5%,50.0%,3.7%,2.01,0.0%
Iga Swiatek,2024 Madrid R16,W vsSorribes Tormo,86.8%,75.8%,0.0%,0/0,2.50,0.0%,96.6%,78.6%,0.0%,2.50,0.0%,83.3%,60.0%,0.0%,2.50,0.0%
Iga Swiatek,2024 Madrid R32,W vsCirstea,88.7%,61.7%,5.7%,0/3,2.68,2.8%,88.5%,56.5%,3.8%,2.80,4.3%,96.0%,66.7%,8.0%,2.48,0.0%
Iga Swiatek,2024 Madrid R64,W vsWang,69.4%,70.6%,2.0%,1/0,2.57,2.8%,78.9%,73.3%,0.0%,2.53,4.3%,44.4%,50.0%,11.1%,2.63,0.0%
Iga Swiatek,2024 Stuttgart SF,L vsRybakina,67.6%,52.1%,8.6%,4/5,2.35,3.6%,64.1%,48.8%,7.8%,2.40,5.8%,83.3%,56.7%,11.1%,2.27,0.0%
Iga Swiatek,2024 Stuttgart QF,W vsRaducanu,80.7%,53.5%,4.5%,1/3,2.37,6.7%,78.9%,46.7%,3.5%,2.35,10.0%,89.7%,65.4%,6.9%,2.41,0.0%
Iga Swiatek,2024 Stuttgart R16,W vsMertens,77.6%,60.5%,6.1%,3/0,2.37,10.0%,84.0%,52.4%,12.0%,2.33,10.5%,77.3%,70.6%,0.0%,2.50,8.3%
Iga Swiatek,2024 BJK Cup RR,W vsNaef,85.7%,56.3%,5.4%,3/0,2.51,0.0%,84.4%,51.9%,6.3%,2.59,0.0%,95.5%,61.9%,4.5%,2.31,0.0%
Iga Swiatek,2024 BJK Cup RR,W vsWaltert,78.8%,68.3%,3.8%,0/2,2.36,10.5%,74.2%,65.2%,0.0%,2.15,16.0%,94.7%,72.2%,10.5%,2.76,0.0%
Iga Swiatek,2024 Miami R16,L vsAlexandrova,58.6%,41.2%,10.3%,6/0,2.60,2.7%,60.0%,38.1%,14.3%,2.49,4.3%,68.4%,46.2%,5.3%,2.78,0.0%
